Kata,Bobot
29nov,0.2793579572518394
2an,2.6472853509962624
2aplikasi,0.3129592465723827
2bintang,1.2494371755700382
2bln,0.3871779839583187
2btg,0.6901318483781793
2bulan,0.8451143908327966
2dlu,0.32626858714319773
2dulu,0.37499411626434676
2fitur,0.19581948867705817
2ganesha,0.08907732886830319
2gb,0.35612088862929164
2hari,0.4566960449564795
2jam,0.4670151556046411
2kali,0.298254344451662
2karna,0.411904720987055
2lagi,0.5250231124168082
2lbr,0.17490695503922693
2lowongan2,0.26501943271159367
2mb,6.768081879799011
2mekhanik,0.16510356680013505
2minggu,0.9117983829660368
2pencapaian,0.1927004736706934
2pernah,0.32850266729844685
2perusahaan,0.31126209408825767
2pt,0.30150856998723785
2ptenkei,0.15468641345161527
2sd,0.08907732886830319
2sekarang,0.35249814751653674
